Équipe,Ligue,Prochain_Match,Form_Score,Form_Last_5_Str,Last_5_FT_Goals,FT Marque_Record,FT Marque_Annee_Record,FT Marque_EnCours,FT Marque_Pct,FT CS_Record,FT CS_Annee_Record,FT CS_EnCours,FT CS_Pct,FT No CS_Record,FT No CS_Annee_Record,FT No CS_EnCours,FT No CS_Pct,FT -0.5_Record,FT -0.5_Annee_Record,FT -0.5_EnCours,FT -0.5_Pct,FT +1.5_Record,FT +1.5_Annee_Record,FT +1.5_EnCours,FT +1.5_Pct,FT -1.5_Record,FT -1.5_Annee_Record,FT -1.5_EnCours,FT -1.5_Pct,FT +2.5_Record,FT +2.5_Annee_Record,FT +2.5_EnCours,FT +2.5_Pct,FT -2.5_Record,FT -2.5_Annee_Record,FT -2.5_EnCours,FT -2.5_Pct,FT +3.5_Record,FT +3.5_Annee_Record,FT +3.5_EnCours,FT +3.5_Pct,FT -3.5_Record,FT -3.5_Annee_Record,FT -3.5_EnCours,FT -3.5_Pct,FT Nuls_Record,FT Nuls_Annee_Record,FT Nuls_EnCours,FT Nuls_Pct,MT +0.5_Record,MT +0.5_Annee_Record,MT +0.5_EnCours,MT +0.5_Pct,MT -0.5_Record,MT -0.5_Annee_Record,MT -0.5_EnCours,MT -0.5_Pct,MT +1.5_Record,MT +1.5_Annee_Record,MT +1.5_EnCours,MT +1.5_Pct,MT -1.5_Record,MT -1.5_Annee_Record,MT -1.5_EnCours,MT -1.5_Pct
Anderlecht,Jupiler Pro League,RAAL La Louviere (Ext) - 23/11,12.600000000000001,"V, V, D, N, V","1,4,1,4,1",28,2024,2,80.60606060606061,8,2011,1,36.96969696969697,11,2022,0,63.030303030303024,2,2019,0,8.282828282828284,20,2024,0,76.96969696969697,3,2018,1,23.03030303030303,8,2013,0,53.13131313131313,8,2011,1,46.86868686868687,4,2023,0,33.131313131313135,13,2021,1,66.86868686868686,4,2021,0,25.454545454545453,12,2023,2,68.08080808080808,5,2025,0,31.91919191919192,4,2023,0,32.92929292929293,16,2011,1,67.07070707070707
Antwerp,Jupiler Pro League,Dender (Dom) - 23/11,1.7999999999999996,"V, D, D, D, N","2,1,1,1,4",23,2022,1,77.89473684210526,4,2023,0,31.57894736842105,15,2025,6,68.42105263157895,3,2023,0,6.666666666666667,22,2025,1,74.03508771929825,4,2023,0,25.964912280701753,7,2019,1,49.824561403508774,6,2025,0,50.175438596491226,6,2020,1,26.666666666666668,10,2025,0,73.33333333333333,3,2025,0,25.263157894736842,15,2025,0,68.42105263157895,4,2025,1,31.57894736842105,3,2025,0,32.98245614035088,8,2024,4,67.01754385964912
Cercle Brugge,Jupiler Pro League,Pas de match prévu,-4.2,"D, D, N, N, N","2,4,2,3,3",13,2012,6,68.82793017456359,3,2020,0,19.950124688279303,24,2013,6,80.0498753117207,2,2011,0,4.987531172069826,15,2018,6,78.05486284289277,3,2020,0,21.94513715710723,9,2012,2,53.11720698254364,8,2025,0,46.88279301745636,5,2012,0,26.433915211970078,23,2021,3,73.56608478802993,4,2023,0,22.194513715710723,15,2019,6,70.32418952618454,4,2010,0,29.67581047381546,5,2024,0,32.917705735660846,12,2011,3,67.08229426433915
Charleroi,Jupiler Pro League,Pas de match prévu,7.0,"V, D, V, D, D","3,4,1,4,2",13,2020,5,72.23427331887203,4,2023,1,28.41648590021692,12,2019,0,71.58351409978309,2,2015,0,8.026030368763557,18,2019,2,71.8004338394794,5,2023,0,28.199566160520607,6,2021,0,48.590021691973966,7,2015,1,51.40997830802603,4,2023,0,28.633405639913235,13,2017,1,71.36659436008676,6,2018,0,26.030368763557483,14,2025,2,66.16052060737528,7,2015,0,33.839479392624725,5,2022,0,30.151843817787416,12,2013,1,69.84815618221259
Club Brugge,Jupiler Pro League,Pas de match prévu,9.4,"D, V, V, V, V","1,1,1,3,1",32,2025,0,88.08080808080808,5,2023,0,37.57575757575757,10,2023,2,62.42424242424243,2,2013,0,4.242424242424243,21,2024,0,81.01010101010101,4,2011,1,18.98989898989899,10,2017,0,60.2020202020202,7,2014,1,39.7979797979798,6,2022,0,34.54545454545455,12,2023,6,65.45454545454545,4,2018,0,22.22222222222222,14,2019,3,74.54545454545455,5,2011,0,25.454545454545453,6,2021,0,37.37373737373738,15,2024,1,62.62626262626263
Dender,Jupiler Pro League,Antwerp (Ext) - 23/11,-2.6000000000000005,"N, D, N, D, D","3,4,2,3,4",9,2025,5,64.81481481481481,2,2025,0,22.22222222222222,8,2024,5,77.77777777777779,1,2025,0,12.962962962962962,8,2024,5,72.22222222222221,3,2025,0,27.77777777777778,5,2025,2,53.70370370370371,5,2025,0,46.2962962962963,3,2025,1,35.18518518518518,5,2025,0,64.81481481481481,4,2025,1,31.48148148148148,9,2024,5,74.07407407407408,2,2025,0,25.925925925925924,4,2024,0,35.18518518518518,9,2025,1,64.81481481481481
Genk,Jupiler Pro League,Mechelen (Dom) - 23/11,8.600000000000001,"N, V, N, N, V","3,4,2,1,2",22,2018,7,81.25,5,2017,0,29.03225806451613,21,2025,1,70.96774193548387,2,2017,0,4.838709677419355,24,2013,1,79.23387096774194,3,2023,0,20.766129032258064,7,2020,0,55.24193548387096,8,2011,3,44.75806451612903,6,2010,0,34.67741935483871,11,2017,3,65.32258064516128,4,2023,1,23.588709677419356,29,2022,8,71.57258064516128,4,2025,0,28.42741935483871,5,2010,0,36.895161290322584,13,2025,2,63.10483870967742
Gent,Jupiler Pro League,Pas de match prévu,3.799999999999999,"N, D, V, D, V","3,5,4,4,2",19,2019,1,81.04838709677419,4,2016,0,31.85483870967742,10,2012,2,68.14516129032258,2,2014,0,5.846774193548387,24,2018,6,78.2258064516129,3,2017,0,21.774193548387096,12,2018,0,53.83064516129033,7,2017,1,46.16935483870967,5,2015,0,34.07258064516129,14,2021,1,65.92741935483872,4,2022,1,25.0,25,2020,6,73.38709677419355,5,2017,0,26.61290322580645,7,2011,0,36.49193548387097,14,2016,1,63.50806451612904
Mechelen,Jupiler Pro League,Genk (Ext) - 23/11,1.4,"N, D, N, V, D","4,4,2,4,2",12,2024,6,73.9784946236559,5,2011,0,25.376344086021508,15,2021,5,74.6236559139785,2,2011,0,6.881720430107527,19,2023,6,80.64516129032258,7,2011,0,19.35483870967742,7,2013,0,55.483870967741936,7,2014,1,44.516129032258064,5,2013,0,34.193548387096776,15,2015,1,65.80645161290323,4,2025,1,24.946236559139784,21,2021,0,70.75268817204301,4,2015,1,29.24731182795699,6,2017,0,33.763440860215056,13,2015,1,66.23655913978494
Oud-Heverlee Leuven,Jupiler Pro League,St Truiden (Dom) - 23/11,11.0,"V, V, N, D, D","2,1,2,4,3",22,2021,3,73.41772151898735,2,2025,0,19.303797468354432,14,2021,1,80.69620253164557,1,2025,0,6.962025316455696,19,2023,3,81.0126582278481,4,2025,0,18.9873417721519,9,2020,2,54.43037974683544,15,2025,0,45.56962025316456,6,2012,0,36.708860759493675,15,2025,1,63.29113924050633,4,2025,0,31.0126582278481,20,2023,2,70.88607594936708,5,2014,0,29.11392405063291,5,2021,0,36.708860759493675,11,2013,1,63.29113924050633
