Équipe,Ligue,Last_5_FT_Goals,Last_5_MT_Goals,Form_Score,Form_Last_5_Str,Prochain_Match,FT Marque_Record,FT Marque_Annee_Record,FT Marque_EnCours,FT CS_Record,FT CS_Annee_Record,FT CS_EnCours,FT No CS_Record,FT No CS_Annee_Record,FT No CS_EnCours,FT -0.5_Record,FT -0.5_Annee_Record,FT -0.5_EnCours,FT +1.5_Record,FT +1.5_Annee_Record,FT +1.5_EnCours,FT -1.5_Record,FT -1.5_Annee_Record,FT -1.5_EnCours,FT +2.5_Record,FT +2.5_Annee_Record,FT +2.5_EnCours,FT -2.5_Record,FT -2.5_Annee_Record,FT -2.5_EnCours,FT +3.5_Record,FT +3.5_Annee_Record,FT +3.5_EnCours,FT -3.5_Record,FT -3.5_Annee_Record,FT -3.5_EnCours,FT Nuls_Record,FT Nuls_Annee_Record,FT Nuls_EnCours,MT +0.5_Record,MT +0.5_Annee_Record,MT +0.5_EnCours,MT -0.5_Record,MT -0.5_Annee_Record,MT -0.5_EnCours,MT +1.5_Record,MT +1.5_Annee_Record,MT +1.5_EnCours,MT -1.5_Record,MT -1.5_Annee_Record,MT -1.5_EnCours
Augsburg,Bundesliga,"4, 2, 6, 1, 5","1, 0, 4, 1, 4",-5.4,"D, D, D, N, V",N/A,12,2016,1,6,2025,0,26,2024,14,2,2025,0,19,2023,1,3,2025,0,9,2025,1,8,2017,0,5,2024,1,12,2025,0,3,2025,0,12,2018,3,4,2025,0,7,2017,1,17,2020,0
Bayern Munich,Bundesliga,"3, 3, 3, 3, 4","2, 1, 0, 3, 2",17.4,"N, V, V, V, V",N/A,87,2022,22,8,2011,0,11,2021,1,2,2010,0,26,2013,22,3,2017,0,15,2023,11,6,2013,0,8,2011,1,9,2015,0,3,2023,1,36,2021,2,3,2015,0,8,2022,2,11,2016,0
Dortmund,Bundesliga,"2, 3, 1, 1, 2","2, 1, 0, 1, 0",9.8,"N, V, V, D, N",N/A,37,2021,18,5,2017,0,12,2021,1,2,2015,0,35,2021,1,3,2016,0,13,2020,0,4,2025,3,7,2025,0,9,2025,9,3,2024,1,20,2013,0,4,2021,1,7,2013,0,10,2016,4
Ein Frankfurt,Bundesliga,"3, 4, 2, 2, 1","2, 3, 1, 1, 0",11.8,"V, N, V, N, D",N/A,23,2021,4,3,2025,1,17,2020,0,2,2022,0,54,2021,0,4,2016,1,9,2025,0,7,2023,3,7,2025,0,20,2017,3,5,2021,0,15,2018,0,4,2011,1,9,2025,0,12,2017,3
FC Koln,Bundesliga,"1, 2, 1, 5, 4","1, 0, 0, 1, 1",2.600000000000001,"D, V, D, N, V",N/A,21,2020,2,5,2014,0,21,2020,4,2,2023,0,28,2018,2,3,2025,0,12,2020,2,8,2024,0,5,2020,2,21,2013,0,4,2017,0,26,2019,2,4,2025,0,5,2012,0,23,2013,5
Freiburg,Bundesliga,"0, 4, 2, 0, 3","0, 3, 1, 0, 1",6.6000000000000005,"V, N, D, N, N",N/A,17,2015,1,6,2025,0,12,2019,1,2,2025,0,24,2021,1,3,2025,0,11,2024,1,4,2023,0,5,2025,0,13,2012,3,4,2014,0,14,2024,1,4,2023,0,4,2024,0,11,2018,3
Hamburg,Bundesliga,"4, 3, 1, 5, 2","2, 1, 1, 1, 0",-2.6000000000000005,"N, D, D, D, V",N/A,30,2024,2,3,2025,0,16,2011,4,2,2018,0,15,2021,2,3,2018,0,7,2025,0,6,2012,1,4,2024,0,12,2014,1,3,2021,1,21,2014,0,4,2016,1,5,2021,0,12,2015,4
Heidenheim,Bundesliga,"1, 4, 4, 2, 6","0, 0, 2, 1, 5",-4.2,"D, N, D, N, D",N/A,18,2019,0,4,2023,0,12,2022,11,1,2025,0,11,2025,4,3,2020,0,8,2019,1,6,2018,0,6,2019,1,14,2016,0,4,2024,0,19,2025,3,5,2021,0,4,2014,1,12,2020,0
Hoffenheim,Bundesliga,"1, 3, 4, 5, 4","1, 0, 2, 2, 3",19.8,"V, V, V, V, D",N/A,20,2023,4,3,2021,0,27,2024,3,2,2021,0,32,2018,4,4,2015,0,20,2013,4,7,2016,0,8,2014,3,11,2013,0,6,2018,0,21,2019,3,3,2015,0,8,2023,3,12,2018,0
Leverkusen,Bundesliga,"2, 7, 2, 3, 6","1, 4, 1, 3, 5",15.0,"V, D, V, V, V",N/A,25,2018,1,5,2016,1,12,2014,0,2,2025,0,20,2023,15,3,2014,0,14,2023,2,7,2011,0,6,2017,1,14,2015,0,3,2024,0,18,2023,6,3,2019,0,10,2024,2,11,2018,0
M'gladbach,Bundesliga,"0, 4, 3, 4, 4","0, 3, 0, 2, 1",11.8,"V, V, D, D, N",N/A,19,2021,2,3,2019,0,13,2022,1,1,2025,0,27,2022,4,5,2011,0,13,2024,4,9,2013,0,5,2021,2,11,2019,0,3,2024,0,14,2014,2,4,2023,0,6,2012,0,14,2012,1
Mainz,Bundesliga,"4, 7, 3, 2, 1","2, 4, 2, 1, 0",-5.0,"D, N, D, D, D",N/A,15,2023,0,4,2012,0,21,2025,21,3,2012,0,21,2023,0,4,2018,1,8,2019,0,11,2024,2,4,2020,0,19,2018,3,4,2013,0,19,2020,0,4,2013,1,7,2019,0,14,2022,2
